text,original_label,original_category,super_category,super_label
"
Looks like Bob Errey's ring really sparkles in that locker room, and everyone
else wants one, too! :-)  Correct me if I'm wrong though, (just through
the net, not through e-mail, I don't need 100 rl's in my e-mail!) but wasn't
Boston down 2-0 vs. Buffalo last year?Boston lost 1 and 2 at home and won
3 and 4 in Buffalo.  Whoever wins game 3 will advance.  Simple as that!!! :-)",10,rec.sport.hockey,recreation,2.0
"
I heard he had a strained abdominal muscle or something like that.",9,rec.sport.baseball,recreation,2.0
"I would like to know what restrictions there are on purchasing handguns 
(ie waiting periods, background check etc..) in the states of Nevada and 
Oregon. Thanks.
                                                -Bill
",16,talk.politics.guns,politics,3.0
"[reply to frank@D012S658.uucp (Frank O'Dwyer)]
 
 
 
If the Good is undefined (undefinable?) but you require of everyone that
they know innately what is right, you are back to subjectivism.
 
 
Ditto here.  An evaluative statement implies a value judgement on the
part of the person making it.
 
 
Pretty perceptive, that Prof. Flew.
 
 
 
Please explain how this helps.  I don't see your argument.
 
 
 
This makes no sense either.  Flew is arguing that this is where the
objectivist winds up, not the subjectivist.  Furthermore, the nihilists
believed in nothing *except* science, materialism, revolution, and the
People.
 
 
 
And also not the position of the subjectivist, as has been pointed out
to you already by others.  Ditch the strawman, already, and see my reply
to Mike Cobb's root message in the thread Societal Basis for Morality.",0,alt.atheism,politics,3.0
"

The problem is that this will also cause  ""a certain amount of interference""
in *all* systems within the range of the device.  A long time ago I built a
small jammer to dissuade my brother from using his radio alarm clock at 
something like 4am, which had just enough range to cover my room and his.
However something powerful enough to mask all (or at least most) emissions from
your computer equipment is also going to knock out half your neighbourhoods
radio and TV reception.  This isn't going to make you many friends.

Incidentally, an older-model TRS80 makes a fine wideband jammer <grin>

Peter.",11,sci.crypt,science,1.0
"
ESPN has been trying various things to get away from the
follow-the-puck concept of televising hockey games.  One of the main
problems with hockey is that it is very difficult to show everything
that is going on -- more happens away from the puck than in any other
sport except maybe football and they can do iso's on football players
to be shown between plays.

The problem of course is that sometimes you get something worthwhile,
other times you get burned.",10,rec.sport.hockey,recreation,2.0
"Tampa Bay                        1 1 0--2
Philadelphia                     3 2 1--6
First period
     1, Philadelphia, Carkner 3 (unassisted) 1:24.
     2, Philadelphia, Hawgood 9 (Recchi, Lindros) pp, 5:56.
     3, Philadelphia, Lindros 37 (Recchi, Hawgood) pp, 9:52.
     4, Tampa Bay, Beers 12 (Zamuner, Chambers) pp, 15:06.
Second period
     5, Tampa Bay, Andersson 13 (Hamrlik, Lafreniere) pp, 1:58.
     6, Philadelphia, Conroy 3 (Butsayev, Faust) 12:10.
     7, Philadelphia, Beranek 13 (Galley, Hawgood) pp, 18:53.
Third period
     8, Philadelphia, Recchi 51 (Brind'Amour, Galley) pp, 17:56.

Philadelphia: 6    Power play: 5-4
Scorer            G    A   Pts
---------------  ---  ---  ---
Beranek            1    0    1
Brind'Amour        0    1    1
Butsayev           0    1    1
Carkner            1    0    1
Conroy             1    0    1
Faust              0    1    1
Galley             0    2    2
Hawgood            1    2    3
Lindros            1    1    2
Recchi             1    2    3

Tampa Bay: 2    Power play: 7-2
Scorer            G    A   Pts
---------------  ---  ---  ---
Andersson          1    0    1
Beers              1    0    1
Chambers           0    1    1
Hamrlik            0    1    1
Lafreniere         0    1    1
Zamuner            0    1    1

-----------------------------------------
Vancouver                        1 0 0--1
Detroit                          2 2 1--5
First period
     1, Detroit, Kozlov 4 (Fedorov, Chiasson) 5:20.
     2, Detroit, Drake 17 (Ciccarelli, Coffey) pp, 7:48.
     3, Vancouver, Ronning 24 (Slegr, Bure) pp, 17:35.
Second period
     4, Detroit, Sheppard 30 (Drake, Hiller) 6:54.
     5, Detroit, Ciccarelli 38 (Chiasson, Drake) pp, 12:13.
Third period
     6, Detroit, Ysebaert 31 (Fedorov, Cheveldae) sh, 4:59.

Detroit: 5    Power play: 5-2   Special goals:  pp: 2  sh: 1  Total: 3
Scorer            G    A   Pts
---------------  ---  ---  ---
Cheveldae          0    1    1
Chiasson           0    2    2
Ciccarelli         1    1    2
Coffey             0    1    1
Drake              1    2    3
Fedorov            0    2    2
Hiller             0    1    1
Kozlov             1    0    1
Sheppard           1    0    1
Ysebaert           1    0    1

Vancouver: 1    Power play: 6-1
Scorer            G    A   Pts
---------------  ---  ---  ---
Bure               0    1    1
Ronning            1    0    1
Slegr              0    1    1

-----------------------------------------
Buffalo                          1 1 0--2
Boston                           1 1 1--3
First period
     1, Buffalo, Audette 12 (Corkum, Wood) 16:40.
     2, Boston, Juneau 30 (Neely, Oates) 18:39.
Second period
     3, Buffalo, Errey 9 (LaFontaine, Khmylev) 10:51.
     4, Boston, Douris 3 (D.Sweeney, Bourque) 17:57.
Third period
     5, Boston, Donato 12 (unassisted) 17:42.

Boston: 3    Power play: 4-0
Scorer            G    A   Pts
---------------  ---  ---  ---
Bourque            0    1    1
Donato             1    0    1
Douris             1    0    1
Juneau             1    0    1
Neely              0    1    1
Oates              0    1    1
Sweeney D          0    1    1

Buffalo: 2    Power play: 5-0
Scorer            G    A   Pts
---------------  ---  ---  ---
Audette            1    0    1
Corkum             0    1    1
Errey              1    0    1
Khmylev            0    1    1
LaFontaine         0    1    1
Wood               0    1    1

-----------------------------------------
Calgary                          1 1 0 1--3
San Jose                         0 2 0 0--2
First period
     1, Calgary, Suter 21 (Reichel, MacInnis) pp, 17:47.
Second period
     2, San Jose, Zmolek 5 (Odgers, Evason) 3:03.
     3, San Jose, Kisio 24 (Garpenlov, Gaudreau) pp, 7:23.
     4, Calgary, Lindberg 9 (MacInnis) pp, 12:43.
Third period
     No scoring.
Overtime
     5, Calgary, Fleury 31 (Otto, Yawney) 3:06.

Calgary: 3    Power play: 8-2
Scorer            G    A   Pts
---------------  ---  ---  ---
Fleury             1    0    1
Lindberg           1    0    1
MacInnis           0    2    2
Otto               0    1    1
Reichel            0    1    1
Suter              1    0    1
Yawney             0    1    1

San Jose: 2    Power play: 9-1
Scorer            G    A   Pts
---------------  ---  ---  ---
Evason             0    1    1
Garpenlov          0    1    1
Gaudreau           0    1    1
Kisio              1    0    1
Odgers             0    1    1
Zmolek             1    0    1

-----------------------------------------
Pittsburgh                       0 3 2--5
Quebec                           2 1 0--3
First period
     1, Quebec, Kamensky 15 (Huffman) 6:05.
     2, Quebec, Young 27 (Lapointe, Huffman) 16:52.
Second period
     3, Pittsburgh, Mullen 29 (Lemieux, Murphy) 3:54.
     4, Pittsburgh, Lemieux 60 (Tocchet, U.Samuelsson) 5:07.
     5, Pittsburgh, Lemieux 61 (Tocchet, Stevens) 8:12.
     6, Quebec, Young 28 (Sundin, Kovalenko) pp, 14:52.
Third period
     7, Pittsburgh, Tippett 4 (unassisted) sh, 3:52.
     8, Pittsburgh, Tippett 5 (McEachern, Mullen) 8:25.

Pittsburgh: 5    Power play: 1-0   Special goals:  sh: 1  Total: 1
Scorer            G    A   Pts
---------------  ---  ---  ---
Lemieux            2    1    3
McEachern          0    1    1
Mullen             1    1    2
Murphy             0    1    1
Samuelsson U       0    1    1
Stevens            0    1    1
Tippett            2    0    2
Tocchet            0    2    2

Quebec: 3    Power play: 4-1
Scorer            G    A   Pts
---------------  ---  ---  ---
Huffman            0    2    2
Kamensky           1    0    1
Kovalenko          0    1    1
Lapointe           0    1    1
Sundin             0    1    1
Young              2    0    2

-----------------------------------------
New Jersey                       0 0 0--0
Toronto                          0 0 1--1
First period
     No scoring.
Second period
     No scoring.
Third period
     1, Toronto, Gilmour 32 (Andreychuk, Anderson) 16:22.

Toronto: 1    Power play: 5-0
Scorer            G    A   Pts
---------------  ---  ---  ---
Anderson           0    1    1
Andreychuk         0    1    1
Gilmour            1    0    1

New Jersey: 0    Power play: 3-0
No scoring

-----------------------------------------
Ottawa                           1 0 2--3
Hartford                         5 1 1--7
First period
     1, Ottawa, Maciver 17 (Baker, Luongo) 4:22.
     2, Hartford, Kron 11 (Nylander, Gosselin) 5:13.
     3, Hartford, Burt 4 (Cassels, Verbeek) 7:59.
     4, Hartford, Cunneyworth 4 (Yake, Nylander) 9:59.
     5, Hartford, Sanderson 42 (Cassels, Houda) 11:11.
     6, Hartford, Verbeek 35 (Cassels, Zalapski) pp, 15:50.
Second period
     7, Hartford, Sanderson 43 (Cassels, Zalapski) pp, 18:38.
Third period
     8, Hartford, Kron 12 (Poulin, Burt) 4:57.
     9, Ottawa, Turgeon 23 (Lamb) 8:57.
     10, Ottawa, Baker 17 (Luongo, Maciver) pp, 16:17.

Hartford: 7    Power play: 3-2
Scorer            G    A   Pts
---------------  ---  ---  ---
Burt               1    1    2
Cassels            0    4    4
Cunneyworth        1    0    1
Gosselin           0    1    1
Houda              0    1    1
Kron               2    0    2
Nylander           0    2    2
Poulin             0    1    1
Sanderson          2    0    2
Verbeek            1    1    2
Yake               0    1    1
Zalapski           0    2    2

Ottawa: 3    Power play: 7-1
Scorer            G    A   Pts
---------------  ---  ---  ---
Baker              1    1    2
Lamb               0    1    1
Luongo             0    2    2
Maciver            1    1    2
Turgeon            1    0    1

-----------------------------------------
Winnipeg                         1 3 2--6
Edmonton                         1 0 3--4
First period
     1, Winnipeg, Tkachuk 27 (Housley, Zhamnov) pp, 14:38.
     2, Edmonton, Klima 31 (Ciger, Elik) 16:05.
Second period
     3, Winnipeg, King 8 (unassisted) 3:54.
     4, Winnipeg, Zhamnov 21 (Selanne) 10:25.
     5, Winnipeg, Domi 5 (Selanne, Housley) 18:44.
Third period
     6, Edmonton, Manson 15 (unassisted) 10:58.
     7, Winnipeg, Eagles 8 (Numminen, Bautin) pp, 14:13.
     8, Winnipeg, Zhamnov 22 (Ulanov, Selanne) 15:27.
     9, Edmonton, Gelinas 8 (Kravchuk, Ranford) 16:48.
     10, Edmonton, Kravchuk 10 (Buchberger) 18:42.

Winnipeg: 6    Power play: 5-2
Scorer            G    A   Pts
---------------  ---  ---  ---
Bautin             0    1    1
Domi               1    0    1
Eagles             1    0    1
Housley            0    2    2
King               1    0    1
Numminen           0    1    1
Selanne            0    3    3
Tkachuk            1    0    1
Ulanov             0    1    1
Zhamnov            2    1    3

Edmonton: 4    Power play: 3-0
Scorer            G    A   Pts
---------------  ---  ---  ---
Buchberger         0    1    1
Ciger              0    1    1
Elik               0    1    1
Gelinas            1    0    1
Klima              1    0    1
Kravchuk           1    1    2
Manson             1    0    1
Ranford            0    1    1

-----------------------------------------
Chicago                          0 3 0 0--3
St. Louis                        1 2 0 0--3
First period
     1, St. Louis, Shanahan 46 (Janney, Hull) pp, 4:09.
Second period
     2, Chicago, Murphy 4 (Chelios, Roenick) pp, 0:50.
     3, St. Louis, Shanahan 47 (Hedican, Janney) 1:18.
     4, Chicago, Noonan 16 (Murphy, Chelios) pp, 5:24.
     5, St. Louis, Bozon 6, ps, 12:13.
     6, Chicago, Roenick 43 (Sutter, Murphy) pp, 18:39.
Third period
     No scoring.
Overtime
     No scoring.

St. Louis: 3    Power play: 4-1   Special goals:  pp: 1  ps: 1  Total: 2
Scorer            G    A   Pts
---------------  ---  ---  ---
Bozon              1    0    1
Chelios            0    1    1
Hedican            0    1    1
Hull               0    1    1
Janney             0    2    2
Murphy             0    1    1
Shanahan           2    0    2

Chicago: 3    Power play: 3-3
Scorer            G    A   Pts
---------------  ---  ---  ---
Chelios            0    2    2
Murphy             1    2    3
Noonan             1    0    1
Roenick            1    1    2
Sutter             0    1    1

-----------------------------------------
Montreal                         0 1 2--3
NY Islanders                     0 2 0--2
First period
     No scoring.
Second period
     1, Montreal, Brunet 10 (Carbonneau, Daigneault) 4:39.
     2, NY Islanders, Turgeon 51 (Thomas, Kurvers) pp, 9:14.
     3, NY Islanders, Mullen 16 (unassisted) 15:13.
Third period
     4, Montreal, Bellows 38 (Desjardins, Dipietro) 3:01.
     5, Montreal, Damphousse 38 (Desjardins, Bellows) pp, 10:11.

Montreal: 3    Power play: 5-1
Scorer            G    A   Pts
---------------  ---  ---  ---
Bellows            1    1    2
Brunet             1    0    1
Carbonneau         0    1    1
Daigneault         0    1    1
Damphousse         1    0    1
Desjardins         0    2    2
Dipietro           0    1    1

NY Islanders: 2    Power play: 5-1
Scorer            G    A   Pts
---------------  ---  ---  ---
Kurvers            0    1    1
Mullen             1    0    1
Thomas             0    1    1
Turgeon            1    0    1

-----------------------------------------
Minnesota                        2 1 0--3
Los Angeles                      0 0 0--0
First period
     1, Minnesota, Dahlen 33 (unassisted) 2:34.
     2, Minnesota, Courtnall 33 (Dahlen, Modano) pp, 9:30.
Second period
     3, Minnesota, McPhee 14 (Sjodin, Hatcher) pp, 7:24.
Third period
     No scoring.

Minnesota: 3    Power play: 11-2
Scorer            G    A   Pts
---------------  ---  ---  ---
Courtnall          1    0    1
Dahlen             1    1    2
Hatcher            0    1    1
McPhee             1    0    1
Modano             0    1    1
Sjodin             0    1    1",10,rec.sport.hockey,recreation,2.0
"
The computer, err, government, is your friend.  Have a nice day (under
penalty of law).",11,sci.crypt,science,1.0
"
actually,  teh D means the registered driver has diplomatic immunity.
That means they can do as they damn well please on the roads, and you
have only God as your protection.   

The state Department Issues Saa-XXX  plates for personnel  who work
at the embassies but haven't been granted  immunity.  Most embassies
have restricted parking for embassy personell  street side.  

The S plates allow them to use  those parking areas as well as the
restricted lots at National and State dept,  without a lot of crap.",18,talk.politics.misc,politics,3.0
"Of all teams, I believe the Cubs have the best record ever in baseball.
Sometime way far back. 110+ and something.",9,rec.sport.baseball,recreation,2.0
"

The new Cruisers DO NOT have independent suspension in the front.  They
still
run a straight axle, but with coils.  The 4Runner is the one with
independent
front.  The Cruisers have incredible wheel travel with this system. 

The 91-up Cruiser does have full time 4WD, but the center diff locks in
low range.  My brother has a 91 and is an incredibly sturdy vehicle which
has done all the 4+ trails in Moab without a tow.  The 93 and later is even
better with the bigger engine and locking diffs.
",7,rec.autos,recreation,2.0
"I've been asked to supply more specific directions
for automated fetching of the source and documentation
for ""agrep,"" the powerful similarity pattern matching tool.

It is at

cs.arizona.edu
192.12.69.5

in directory

/agrep/README
/agrep/agrep-2.04.tar.Z
/agrep/agrep.ps.1.Z
/agrep/agrep.ps.2.Z

(The .ps suffixed files are the optional postscript docs; 
a reasonably good research report with benchmarks is
included.)

Note for Macintosh MPW users: after a few hours of drudgery,
I ported the tool to MPW 3.2.3 running under System 7.1.
If you would like me to e-mail a binhexed copy of the tool
suitable for dropping in to your MPW/tools folder, please write...

Other than the more purely cryptographic uses for the tool
I've been having lots of fun picking up the ""lost""
references to things I'm interested in. For example,
starting a search like:

agrep -1 -i 'Burning Chrome' cyberpunkspool 

immediately finds references like 'burning crome' that I
have always missed before.  See how many times John
Gilmore's name is mentioned in the CUD archives
(and how often misspelled).  How about _your_ name?

As usual, I will e-mail the uuencoded tar.Z upon request
if you cannot do anonymous FTP.

",11,sci.crypt,science,1.0
"Hello everybody,

I am searching for (business) information of Motif applications, to create a
TOP-30 of most used WordProcessors, Spreadsheets, Drawing programs, Schedulers
and Fax programs, etc..

Please mail me all your information or references.  I will summaries the
results on this media.


Thank you in advance,

Anton de Ruiter.",5,comp.windows.x,technology,0.0
"Well, we got some responses and are doing some interviews with interesting
responders. However, just in case the other posting was overlooked by an
incredibly talented person ... Mea Culpa for posting this here for Mike,
but we're looking for someone special:

   Tandem Computers is currently looking for a software wizard to help
 us architect & implement a fault-tolerant generalized instrumentation
 subsystem as part of our proprietary operating system kernel (TNS
 Kernel). The TNS Kernel is a proprietary, loosely-coupled parallel,
 message-based operating system. The TNS Kernel has wide connectivity
 to open standards.
   In this key individual contributor role, you will work with other
 developers working on various components of the Transaction Management
 Facility.
   Your background needs to encompass some of the following 4 categories
 (3 of 4 would be excellent):
   Category 1. Math: Working knowledge of statistics, real analysis, as
 used in experimental physics or chemistry, or in engineering.
   Category 2. Working knowledge of telemetry issues-- i.e. time series,
 autocorrelation, and statistical correlation of data streams.
   Category 3. Integration & Test -- Instrumentation of systems under test,
 i.e. payloads, flight modules, etc.
   Category 4: Software Engineering: programming skills, algorithms, and
 systems software techniques.",14,sci.space,science,1.0
"

Sure nails can be cruel.  I'd imagine nails in your eyes would be
*very* painful.  But, this does not imply that a painless death is
cruel, which is what you are supposed to be trying to show.",0,alt.atheism,politics,3.0
"
If you do make it into New York state, the Palisades Interstate Parkway is a
pleasant ride (beautiful scenery, good road surface, minimal traffic).  You
may also want to take a sidetrip along Seven Lakes Drive just off the parkway
for the same reasons plus the road sweeps up and down along the hills with
sweeping turns under old forest canopy.",8,rec.motorcycles,recreation,2.0
"Another company, Congruent Corporation of New York City, has also ported Xlib
Xt and Motif 1.1 over to MS Windows NT, which provides full client development
for X applications in an NT environment.

If you are porting InterViews over to MS Windows, I thought InterViews was
a C++ toolkit with C++ classes. If that is so, how can it be built on Xlib,
unless the classes are calling Xlib functions?

Steve
",5,comp.windows.x,technology,0.0
"
And DoDers are easily recognized by their own special wave.
Pay attention and I'll tell you how to do it. Hold your left hand out
in front of you, fingers straight but apart - like a vase. You may also
use your right hand if you have a throttle lock or are stopped. Bring
your fingertips and thumb together, touch, and open back to the starting
position. While you are doing this, move your hand slowly to the left.
Do it gracefully and with a waving motion. You are now imitating a
squid propelling itself about underwater probably in search of food,
drink, squids of the appropriate sexual orientation, or other squids to
go riding with.
",8,rec.motorcycles,recreation,2.0
"

	Greg, no flame intended, but you have no discernible sense of
humor.  What Bill wrote was intended to be funny.  It's called a
""joke"", Greg.  Look into it.
	Besides, Kirilian photography is actually photography of my
friend's two-year-old son Kiril.  Perhaps you meant ""Kirlian""?
",13,sci.med,science,1.0
"

As does the idea that a CS gas canister can get hot enough to ignite dry
baled hay.
",18,talk.politics.misc,politics,3.0
"Moving Sale: Must sell before May 5:
Futon:  high-end, oak, queen, like new -- $250
Computer Desk:  roll-top, locks securely, like new -- $100
Color TV:  13"", perfect cond., great for bedroom -- $50	( ***SOLD)
Coffee Tables/Dresser:  $40 or B.O.
Lamps:  $10
Make an offer!!",6,misc.forsale,forsale,4.0
"
They were attacking the Iraqis to drive them out of Kuwait,
a country whose citizens have close blood and business ties
to Saudi citizens.  And me thinks if the US had not helped out
the Iraqis would have swallowed Saudi Arabia, too (or at 
least the eastern oilfields).  And no Muslim country was doing
much of anything to help liberate Kuwait and protect Saudi
Arabia; indeed, in some masses of citizens were demonstrating
in favor of that butcher Saddam (who killed lotsa Muslims),
just because he was killing, raping, and looting relatively
rich Muslims and also thumbing his nose at the West.

So how would have *you* defended Saudi Arabia and rolled
back the Iraqi invasion, were you in charge of Saudi Arabia???


I think that it is a very good idea to not have governments have an
official religion (de facto or de jure), because with human nature
like it is, the ambitious and not the pious will always be the
ones who rise to power.  There are just too many people in this
world (or any country) for the citizens to really know if a 
leader is really devout or if he is just a slick operator.


You make it sound like these guys are angels, Ilyess.  (In your
clarinet posting you edited out some stuff; was it the following???)
Friday's New York Times reported that this group definitely is
more conservative than even Sheikh Baz and his followers (who
think that the House of Saud does not rule the country conservatively
enough).  The NYT reported that, besides complaining that the
government was not conservative enough, they have:

	- asserted that the (approx. 500,000) Shiites in the Kingdom
	  are apostates, a charge that under Saudi (and Islamic) law
	  brings the death penalty.  

	  Diplomatic guy (Sheikh bin Jibrin), isn't he Ilyess?

	- called for severe punishment of the 40 or so women who
	  drove in public a while back to protest the ban on
	  women driving.  The guy from the group who said this,
	  Abdelhamoud al-Toweijri, said that these women should
	  be fired from their jobs, jailed, and branded as
	  prostitutes.

	  Is this what you want to see happen, Ilyess?  I've
	  heard many Muslims say that the ban on women driving
	  has no basis in the Qur'an, the ahadith, etc.
	  Yet these folks not only like the ban, they want
	  these women falsely called prostitutes?  

	  If I were you, I'd choose my heroes wisely,
	  Ilyess, not just reflexively rally behind
	  anyone who hates anyone you hate.

	- say that women should not be allowed to work.

	- say that TV and radio are too immoral in the Kingdom.

Now, the House of Saud is neither my least nor my most favorite government
on earth; I think they restrict religious and political reedom a lot, among
other things.  I just think that the most likely replacements
for them are going to be a lot worse for the citizens of the country.
But I think the House of Saud is feeling the heat lately.  In the
last six months or so I've read there have been stepped up harassing
by the muttawain (religious police---*not* government) of Western women
not fully veiled (something stupid for women to do, IMO, because it
sends the wrong signals about your morality).  And I've read that
they've cracked down on the few, home-based expartiate religious
gatherings, and even posted rewards in (government-owned) newspapers
offering money for anyone who turns in a group of expartiates who
dare worship in their homes or any other secret place. So the
government has grown even more intolerant to try to take some of
the wind out of the sails of the more-conservative opposition.
As unislamic as some of these things are, they're just a small
taste of what would happen if these guys overthrow the House of
Saud, like they're trying to in the long run.

Is this really what you (and Rached and others in the general
west-is-evil-zionists-rule-hate-west-or-you-are-a-puppet crowd)
want, Ilyess?
",17,talk.politics.mideast,politics,3.0
"From:  Kayhan Havai # 1026
--------------------------
                    
                         
o Dr. Namaki,  deputy minister of health stated that infant
  mortality (under one year old) in Iran went down from 120 
  per  thousand before the revolution to 33 per thousand at
  the end of 1371 (last month).
    
o Dr Namaki also stated that before the revolution only
  254f children received vaccinations to protect them
  from various deseases but this figure reached 93at
  the end of 1371.
    
o Dr. Malekzadeh, the minister of health mentioned that
  the population growth rate in Iran at the end of 1371
  went below 2.7
   
o During the visit of Mahathir Mohammad, the prime minister
  of Malaysia, to Iran, agreements for cooperation in the
  areas of industry, trade, education and tourism were
  signed. According to one agreement, Iran will be in
  charge of building Malaysia's natural gas network.
                          
----------------------------------------------------------
                 
 - Farzin Mokhtarian
                       
",17,talk.politics.mideast,politics,3.0
"IBM 3510-001 cd-rom drive 350ms. drive only make offer or trade.
                                                               
",6,misc.forsale,forsale,4.0
"
  Son of the Return of the ""How much does Americans know about the rest of
the word?""-flamewar anyone?

-bertil-",12,sci.electronics,science,1.0
"
That would be a V4 ticket, presumably, not a V5 ticket.  The V4 ticket
format can even be complicated several more orders of magnitude...",11,sci.crypt,science,1.0
"

I watched him over his entire career.  I have NEVER seen a player, and that
includes Russell Courtnall and Davie Keon, screw up as many breakaways as
Bob Gainey.  And I will never forget the time Denis Potvin caught Gainey
with his head down.  You have been sold a bill of goods on Bob Gainey.

Gainey was a plugger.  And when the press runs out of things to say about 
the stars on dynasties they start to hype the pluggers.  Grant Fuhr, Essa
Tikkannen, Butch Goring, Bob Nystrom, Bob Gainey, Doug Jarvis, Derek
Sanderson, Wayne Cashman, Bob Baun, Bob Pulford, Ralph Backstrom, Henri
Richard, Dick Duff...and so on...

cordially, as always,

rm
",10,rec.sport.hockey,recreation,2.0
"


There is a whole constellation of custom built navigation beacon satellites
in the process of being phased out right now. The TRANSIT/OSCAR satellites
are being replaced by GPS. Or were you thinking of deep space navigation,
which is best done with doppler/VLBI/ stellar measurements. I do not think
additional radio beacons would help much.",14,sci.space,science,1.0
"From the ""JPL Universe""
April 23, 1993

SIRTF is still very much in business",14,sci.space,science,1.0
